sku,title,signal_url,product_url,family,product_type,pack_count,pack_class,price,unit_price,unit_price_band,inventory,weight,weight_unit,unit_weight,unit_weight_band,length,width,height,cube_inches,unit_cube_inches,status,merchant_status,merchant_availability
212C,"8x6x12 EPS Foam Insulated Shipping Kit - 200# White Corrugated, Case of 1",https://packrift.github.io/products/212c-8x6x12-eps-foam-insulated-shipping-kit-200-white-corrugated-case-of-1/,https://packrift.com/products/8x6x12-eps-foam-insulated-shipping-kit-200-white-corrugated-case-of-1,Boxes,Boxes - Corrugated,1,"small packs, 1-10 units",13.08,13.08,$5+ per unit,500,1.42,lb,1.42,1 to 5 lb per unit,8,6,12,576,576,catalog approved,active listing,in stock
214C,"9.5x9.5x7 Insulated Shipping Kit - EPS Foam Corrugated Box, Case of 1",https://packrift.github.io/products/214c-9-5x9-5x7-insulated-shipping-kit-eps-foam-corrugated-box-case-of-1/,https://packrift.com/products/9-5x9-5x7-insulated-shipping-kit-eps-foam-corrugated-box-case-of-1,Boxes,Boxes - Corrugated,1,"small packs, 1-10 units",12.71,12.71,$5+ per unit,500,1.42,lb,1.42,1 to 5 lb per unit,9.5,9.5,7,631.75,631.75,catalog approved,active listing,in stock
227C,"12x10x7 EPS Foam Insulated Shipping Kit - 200# Corrugated Carton, Case of 1",https://packrift.github.io/products/227c-12x10x7-eps-foam-insulated-shipping-kit-200-corrugated-carton-case-of-1/,https://packrift.com/products/12x10x7-eps-foam-insulated-shipping-kit-200-corrugated-carton-case-of-1,Boxes,Boxes - Corrugated,1,"small packs, 1-10 units",20.77,20.77,$5+ per unit,500,1.94,lb,1.94,1 to 5 lb per unit,12,10,7,840,840,catalog approved,active listing,in stock
229C,"12x10x9 Insulated Shipping Kit - EPS Foam Corrugated Carton, Case of 1",https://packrift.github.io/products/229c-12x10x9-insulated-shipping-kit-eps-foam-corrugated-carton-case-of-1/,https://packrift.com/products/12x10x9-insulated-shipping-kit-eps-foam-corrugated-carton-case-of-1,Boxes,Boxes - Corrugated,1,"small packs, 1-10 units",23.46,23.46,$5+ per unit,500,2.14,lb,2.14,1 to 5 lb per unit,12,10,9,1080,1080,catalog approved,active listing,in stock
229F,"12x10x9 Insulated Foam Container - 1.5"" Polystyrene Protection, Case of 1",https://packrift.github.io/products/229f-12x10x9-insulated-foam-container-1-5-polystyrene-protection-case-of-1/,https://packrift.com/products/12x10x9-insulated-foam-container-1-5-polystyrene-protection-case-of-1,Boxes,Boxes - Corrugated,1,"small packs, 1-10 units",17.48,17.48,$5+ per unit,300,2.32,lb,2.32,1 to 5 lb per unit,12,10,9,1080,1080,catalog approved,active listing,in stock
230C,"12x12x11.5 EPS Foam Insulated Shipping Kit - 200# Corrugated, Case of 1",https://packrift.github.io/products/230c-12x12x11-5-eps-foam-insulated-shipping-kit-200-corrugated-case-of-1/,https://packrift.com/products/12x12x11-5-eps-foam-insulated-shipping-kit-200-corrugated-case-of-1,Boxes,Boxes - Corrugated,1,"small packs, 1-10 units",35.36,35.36,$5+ per unit,500,3.38,lb,3.38,1 to 5 lb per unit,12,12,11.5,1656,1656,catalog approved,active listing,in stock
238C,"13.75x11.75x11.875 EPS Foam Insulated Shipping Kit - Temperature Control, Case of 1",https://packrift.github.io/products/238c-13-75x11-75x11-875-eps-foam-insulated-shipping-kit-temperature-control-case-of-1/,https://packrift.com/products/13-75x11-75x11-875-eps-foam-insulated-shipping-kit-temperature-control-case-of-1,Boxes,Boxes - Corrugated,1,"small packs, 1-10 units",30.3,30.3,$5+ per unit,500,2.44,lb,2.44,1 to 5 lb per unit,13.75,11.75,11.875,1918.554688,1918.554688,catalog approved,active listing,in stock
240C,"13x13x12.5"" Insulated Shipping Kit - EPS Foam Corrugated Carton, Case of 1",https://packrift.github.io/products/240c-13x13x12-5-insulated-shipping-kit-eps-foam-corrugated-carton-case-of-1/,https://packrift.com/products/13x13x12-5-insulated-shipping-kit-eps-foam-corrugated-carton-case-of-1,Boxes,Boxes - Corrugated,1,"small packs, 1-10 units",33.55,33.55,$5+ per unit,400,3.06,lb,3.06,1 to 5 lb per unit,13,13,12.5,2112.5,2112.5,catalog approved,active listing,in stock
245C,"17x10x8.25"" EPS Foam Insulated Shipping Kit - Temperature Control, Case of 1",https://packrift.github.io/products/245c-17x10x8-25-eps-foam-insulated-shipping-kit-temperature-control-case-of-1/,https://packrift.com/products/17x10x8-25-eps-foam-insulated-shipping-kit-temperature-control-case-of-1,Boxes,Boxes - Corrugated,1,"small packs, 1-10 units",27.37,27.37,$5+ per unit,300,2.4,lb,2.4,1 to 5 lb per unit,17,10,8.25,1402.5,1402.5,catalog approved,active listing,in stock
246C,"17x10x10.5 EPS Foam Insulated Shipping Kit - Perishable Protection, Case of 1",https://packrift.github.io/products/246c-17x10x10-5-eps-foam-insulated-shipping-kit-perishable-protection-case-of-1/,https://packrift.com/products/17x10x10-5-eps-foam-insulated-shipping-kit-perishable-protection-case-of-1,Boxes,Boxes - Corrugated,1,"small packs, 1-10 units",30.5,30.5,$5+ per unit,500,2.74,lb,2.74,1 to 5 lb per unit,17,10,10.5,1785,1785,catalog approved,active listing,in stock
