sku,title,family,product_type,product_url,page_url,price,inventory,material_signals,color_signals,closure_signals,printer_signals,strength_signals,pack_count_signals,source_fingerprint
BINB212,"12x2x4.5 White Corrugated Stackable Bin Boxes - Space-Saving Parts Storage, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x2x4-5-white-corrugated-stackable-bin-boxes-space-saving-parts-storage-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binb212-12x2x4-5-white-corrugated-stackable-bin-boxes-space-saving-parts-storage-50-pack/,43.7,200,corrugated|white,white,,,,50-pack,2577aa376b6a2b1d
BINB412,"12x4x4.5"" ECT-32-B Corrugated Stackable Bin Boxes - 50 Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x4x4-5-ect-32-b-corrugated-stackable-bin-boxes-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binb412-12x4x4-5-ect-32-b-corrugated-stackable-bin-boxes-50-pack/,48.15,500,corrugated,,,,ect-32,50 pack,3b49240f5eda03ff
BINB418,"4x18x4.5"" Stackable Bin Boxes, ECT-32-B Corrugated, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/4x18x4-5-stackable-bin-boxes-ect-32-b-corrugated-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binb418-4x18x4-5-stackable-bin-boxes-ect-32-b-corrugated-50-pack/,60.34,200,corrugated,,,,ect-32,50-pack,9d771bc37a6828de
BINB612,"6x12x4.5"" Stackable Corrugated Bin Boxes - Parts Organization, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/6x12x4-5-stackable-corrugated-bin-boxes-parts-organization-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binb612-6x12x4-5-stackable-corrugated-bin-boxes-parts-organization-50-pack/,71.31,400,corrugated,,,,,50-pack,cc50469fc5161fe1
BINB712,"7x12x4.5"" White Corrugated Stackable Bin Boxes - Parts Organization, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/7x12x4-5-white-corrugated-stackable-bin-boxes-parts-organization-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binb712-7x12x4-5-white-corrugated-stackable-bin-boxes-parts-organization-50-pack/,47.54,200,corrugated|white,white,,,,50-pack,b60c242d683c386b
BINB718,"7x18x4.5"" Stackable Bin Boxes ECT-32-B Corrugated - 50 Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/7x18x4-5-stackable-bin-boxes-ect-32-b-corrugated-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binb718-7x18x4-5-stackable-bin-boxes-ect-32-b-corrugated-50-pack/,64.61,500,corrugated,,,,ect-32,50 pack,bcb64cec3ebd1c7a
BINB812,"8x12x4.5"" White Corrugated Stackable Bin Boxes - Parts Organization, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/8x12x4-5-white-corrugated-stackable-bin-boxes-parts-organization-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binb812-8x12x4-5-white-corrugated-stackable-bin-boxes-parts-organization-bundle-of-50/,91.43,100,corrugated|white,white,,,,bundle of 50,27177004a53d79ab
BINB912,"9x12x4.5"" White Corrugated Stackable Bin Boxes - Organize Parts Efficiently, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/9x12x4-5-white-corrugated-stackable-bin-boxes-organize-parts-efficiently-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binb912-9x12x4-5-white-corrugated-stackable-bin-boxes-organize-parts-efficiently-50-pack/,110.32,200,corrugated|white,white,,,,50-pack,e5daf6607f056a47
BINBIN29,"9x2x4.5"" White Corrugated Bin Boxes - ECT-32-B, 25-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/9x2x4-5-white-corrugated-bin-boxes-ect-32-b-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbin29-9x2x4-5-white-corrugated-bin-boxes-ect-32-b-25-pack/,13.71,500,cardboard|corrugated|white,white,,,ect-32,25-pack,c2b7d746411f4399
BINBIN29K,"9x2x4.5"" Kraft Corrugated Bin Boxes - 25 Pack Parts Storage",boxes,"Bins, Shelving & Storage",https://packrift.com/products/9x2x4-5-kraft-corrugated-bin-boxes-25-pack-parts-storage,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbin29k-9x2x4-5-kraft-corrugated-bin-boxes-25-pack-parts-storage/,22.55,100,cardboard|corrugated|kraft,kraft,,,,25 pack,00950377618b7595
