primary_sku,exact_spec_title,staged_candidate_handle,candidate_url_pattern_not_claimed_live,parent_hub,parent_hub_url,product_title,packrift_product_url,directory_record_url,family,product_type,catalog_price_usd,inventory_band,dimension_source,volume_cu_in,size_band,substitute_sku_count,accessory_sku_count,source_row_hash,release_id,record_hash,length_in,width_in,height_in
10103,"10103 Exact Spec: 10x10x3 ECT-32 Kraft Corrugated Boxes - Shallow Depth Shipping, Bundle of 25",10103-10-x-10-x-3-boxes,https://packrift.com/pages/10103-10-x-10-x-3-boxes,Box Sizes by Dimension,https://packrift.com/pages/box-sizes-by-dimension,"10x10x3 ECT-32 Kraft Corrugated Boxes - Shallow Depth Shipping, Bundle of 25",https://packrift.com/products/10x10x3-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-bundle-of-25,https://packrift.github.io/exact-spec-size-directory/records/10103-10-x-10-x-3-boxes-b6e5c9fd/,Boxes,Boxes - Corrugated,18.55,500-plus,metafield,300.0,8-to-11-in,4,4,6de5695912ad56eb5223e12bbc44c285c93cf542987e94317f01552e789112f5,catalog-control-r1-2026-05-05-worker-a,b6e5c9fd9214acdc,10.0,10.0,3.0
10108,10108 Exact Spec: 10x10x8 ECT-32 Kraft Corrugated Boxes - Bundle of 25,10108-10-x-10-x-8-boxes,https://packrift.com/pages/10108-10-x-10-x-8-boxes,Box Sizes by Dimension,https://packrift.com/pages/box-sizes-by-dimension,10x10x8 ECT-32 Kraft Corrugated Boxes - Bundle of 25,https://packrift.com/products/10x10x8-ect-32-kraft-corrugated-boxes-bundle-of-25,https://packrift.github.io/exact-spec-size-directory/records/10108-10-x-10-x-8-boxes-e8a13057/,Boxes,Boxes - Corrugated,20.48,500-plus,metafield,800.0,8-to-11-in,4,4,fb8647baf3aee74cd0e213b62b7742f4eb6653e00a1741333f18467622c78cb3,catalog-control-r1-2026-05-05-worker-a,e8a1305750916134,10.0,10.0,8.0
1054,"1054 Exact Spec: 10x5x4 ECT-32 Kraft Corrugated Boxes - Long Side Opening, 25 Bundle",1054-10-x-5-x-4-boxes,https://packrift.com/pages/1054-10-x-5-x-4-boxes,Box Sizes by Dimension,https://packrift.com/pages/box-sizes-by-dimension,"10x5x4 ECT-32 Kraft Corrugated Boxes - Long Side Opening, 25 Bundle",https://packrift.com/products/10x5x4-ect-32-kraft-corrugated-boxes-ai-long-side-opening-bundle-of-25,https://packrift.github.io/exact-spec-size-directory/records/1054-10-x-5-x-4-boxes-f43f3567/,Boxes,Boxes - Corrugated,14.87,500-plus,metafield,200.0,8-to-11-in,4,4,1b77f1f1f799cc32e13aacefa7abdfc8cd442d58e4a4b31a622d3e8b32706662,catalog-control-r1-2026-05-05-worker-a,f43f35672d215dcd,10.0,5.0,4.0
1066,1066 Exact Spec: 10x6x6 ECT-32 Kraft Long Corrugated Boxes - 25 Bundle,1066-10-x-6-x-6-boxes,https://packrift.com/pages/1066-10-x-6-x-6-boxes,Box Sizes by Dimension,https://packrift.com/pages/box-sizes-by-dimension,10x6x6 ECT-32 Kraft Long Corrugated Boxes - 25 Bundle,https://packrift.com/products/10x6x6-ect-32-kraft-long-corrugated-boxes-25-bundle,https://packrift.github.io/exact-spec-size-directory/records/1066-10-x-6-x-6-boxes-974c51a8/,Boxes,Boxes - Corrugated,12.7,100-to-499,metafield,360.0,8-to-11-in,4,4,bb5a59e2a14b8903cf7a55735238bc39b8058d46534171abb744aad0a802f1b0,catalog-control-r1-2026-05-05-worker-a,974c51a874f676a3,10.0,6.0,6.0
1074,"1074 Exact Spec: 10x7x4 ECT-32 Kraft Corrugated Boxes - Standard Strength Shipping, 25-Pack",1074-10-x-7-x-4-boxes,https://packrift.com/pages/1074-10-x-7-x-4-boxes,Box Sizes by Dimension,https://packrift.com/pages/box-sizes-by-dimension,"10x7x4 ECT-32 Kraft Corrugated Boxes - Standard Strength Shipping, 25-Pack",https://packrift.com/products/10x7x4-ect-32-kraft-corrugated-boxes-standard-strength-shipping-25-pack,https://packrift.github.io/exact-spec-size-directory/records/1074-10-x-7-x-4-boxes-c1598e18/,Boxes,Boxes - Corrugated,12.77,500-plus,metafield,280.0,8-to-11-in,4,4,3fb8a6ab6d7ef30b46b412d8a8509ea0a55d0a7a1a4642059f841584eadc5c80,catalog-control-r1-2026-05-05-worker-a,c1598e18348380e3,10.0,7.0,4.0
1075,"1075 Exact Spec: 10x7x5"" ECT-32 Kraft Corrugated Boxes - Durable Shipping, 25-Pack",1075-10-x-7-x-5-boxes,https://packrift.com/pages/1075-10-x-7-x-5-boxes,Box Sizes by Dimension,https://packrift.com/pages/box-sizes-by-dimension,"10x7x5"" ECT-32 Kraft Corrugated Boxes - Durable Shipping, 25-Pack",https://packrift.com/products/10x7x5-ect-32-kraft-corrugated-boxes-durable-shipping-25-pack,https://packrift.github.io/exact-spec-size-directory/records/1075-10-x-7-x-5-boxes-2b5b5478/,Boxes,Boxes - Corrugated,14.2,500-plus,metafield,350.0,8-to-11-in,4,4,16e30d5a507262700ac8f282bdefe9f7fff4a64d491d1e48de74fbb94e1775f6,catalog-control-r1-2026-05-05-worker-a,2b5b547864086ccb,10.0,7.0,5.0
1083,"1083 Exact Spec: 10x8x3"" ECT-32 Kraft Corrugated Boxes - Shallow Depth Shipping, Bundle of 25",1083-10-x-8-x-3-boxes,https://packrift.com/pages/1083-10-x-8-x-3-boxes,Box Sizes by Dimension,https://packrift.com/pages/box-sizes-by-dimension,"10x8x3"" ECT-32 Kraft Corrugated Boxes - Shallow Depth Shipping, Bundle of 25",https://packrift.com/products/10x8x3-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-bundle-of-25,https://packrift.github.io/exact-spec-size-directory/records/1083-10-x-8-x-3-boxes-14d0d16d/,Boxes,Boxes - Corrugated,13.65,500-plus,metafield,240.0,8-to-11-in,4,4,07710f897a66e7ad698ab3b9071542a6ea77a47827e2d364f71fbf642b572b2f,catalog-control-r1-2026-05-05-worker-a,14d0d16d6076ea13,10.0,8.0,3.0
1098,"1098 Exact Spec: 10x9x8 ECT-32 Kraft Corrugated Boxes - Flat Ship Storage, 25-Pack",1098-10-x-9-x-8-boxes,https://packrift.com/pages/1098-10-x-9-x-8-boxes,Box Sizes by Dimension,https://packrift.com/pages/box-sizes-by-dimension,"10x9x8 ECT-32 Kraft Corrugated Boxes - Flat Ship Storage, 25-Pack",https://packrift.com/products/10x9x8-ect-32-kraft-corrugated-boxes-flat-ship-storage-25-pack,https://packrift.github.io/exact-spec-size-directory/records/1098-10-x-9-x-8-boxes-14fba5b8/,Boxes,Boxes - Corrugated,29.52,500-plus,metafield,720.0,8-to-11-in,4,4,c4ce9b3ba8e01b581ceb0ac052ac0f9569803e59b23ce61130491ec4b967a02b,catalog-control-r1-2026-05-05-worker-a,14fba5b890265e97,10.0,9.0,8.0
111111,"111111 Exact Spec: 11x11x11"" ECT-32 Kraft Corrugated Cube Boxes - Bundle of 25",111111-11-x-11-x-11-boxes,https://packrift.com/pages/111111-11-x-11-x-11-boxes,Box Sizes by Dimension,https://packrift.com/pages/box-sizes-by-dimension,"11x11x11"" ECT-32 Kraft Corrugated Cube Boxes - Bundle of 25",https://packrift.com/products/11x11x11-ect-32-kraft-corrugated-cube-boxes-bundle-of-25,https://packrift.github.io/exact-spec-size-directory/records/111111-11-x-11-x-11-boxes-e914f33c/,Boxes,Boxes - Corrugated,27.57,500-plus,metafield,1331.0,8-to-11-in,4,4,5426177b6a1a27a6af6839c7e162b80b50bfd99e5613ec7d4e6e63b21f978217,catalog-control-r1-2026-05-05-worker-a,e914f33c942ada2f,11.0,11.0,11.0
111113,111113 Exact Spec: 11x11x13 ECT-32 Kraft Corrugated Boxes - 25-Pack Bundle,111113-11-x-11-x-13-boxes,https://packrift.com/pages/111113-11-x-11-x-13-boxes,Box Sizes by Dimension,https://packrift.com/pages/box-sizes-by-dimension,11x11x13 ECT-32 Kraft Corrugated Boxes - 25-Pack Bundle,https://packrift.com/products/11x11x13-ect-32-kraft-corrugated-boxes-25-pack-bundle,https://packrift.github.io/exact-spec-size-directory/records/111113-11-x-11-x-13-boxes-3b4a3e94/,Boxes,Boxes - Corrugated,48.51,100-to-499,metafield,1573.0,12-to-17-in,4,4,5614cd1938b63f7b030b9e5ca164d32bc841e0c1d3b1916d69cbcddfb5554543,catalog-control-r1-2026-05-05-worker-a,3b4a3e94b1f4a9c1,11.0,11.0,13.0
