term,label,url,product_count,family_count,product_type_count,sample_skus
boxes,Boxes,https://packrift.github.io/packaging-vocabulary/terms/boxes/,1708,3,4,644 655 654 664 754 844 744 544 955 855 665 863 864 954 M322 1044 964 M522 1055 M422 1064 MD864 774 963
corrugated boxes,Corrugated Boxes,https://packrift.github.io/packaging-vocabulary/terms/corrugated-boxes/,1673,3,3,644 655 654 664 754 844 744 544 955 855 665 863 864 954 M322 1044 964 M522 1055 M422 1064 MD864 774 963
shipping cartons,Shipping Cartons,https://packrift.github.io/packaging-vocabulary/terms/shipping-cartons/,1655,3,3,644 655 654 664 754 844 744 544 955 855 665 863 864 954 M322 1044 964 M522 1055 M422 1064 MD864 774 963
cartons,Cartons,https://packrift.github.io/packaging-vocabulary/terms/cartons/,1136,3,3,644 655 654 664 754 844 744 544 955 855 665 863 864 954 1044 964 1055 1064 MD864 774 963 965 753 866
corrugated cartons,Corrugated Cartons,https://packrift.github.io/packaging-vocabulary/terms/corrugated-cartons/,1136,3,3,644 655 654 664 754 844 744 544 955 855 665 863 864 954 1044 964 1055 1064 MD864 774 963 965 753 866
cardboard,Cardboard,https://packrift.github.io/packaging-vocabulary/terms/cardboard/,1048,1,1,644 655 654 664 754 844 744 544 955 855 665 863 864 954 1044 964 1055 1064 MD864 774 963 965 753 866
cardboard boxes,Cardboard Boxes,https://packrift.github.io/packaging-vocabulary/terms/cardboard-boxes/,1048,1,1,644 655 654 664 754 844 744 544 955 855 665 863 864 954 1044 964 1055 1064 MD864 774 963 965 753 866
cardboard containers,Cardboard Containers,https://packrift.github.io/packaging-vocabulary/terms/cardboard-containers/,904,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
cardboard shipping boxes,Cardboard Shipping Boxes,https://packrift.github.io/packaging-vocabulary/terms/cardboard-shipping-boxes/,904,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
shipping container,Shipping Container,https://packrift.github.io/packaging-vocabulary/terms/shipping-container/,904,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
storage boxes,Storage Boxes,https://packrift.github.io/packaging-vocabulary/terms/storage-boxes/,886,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
packaging boxes,Packaging Boxes,https://packrift.github.io/packaging-vocabulary/terms/packaging-boxes/,876,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
