sku,title,evidence_url,product_url,family,product_type,price,price_band,inventory,weight,weight_unit,weight_band,length,width,height,pack_count,status,merchant_status,merchant_availability,completeness
10103,"10x10x3 ECT-32 Kraft Corrugated Boxes - Shallow Depth Shipping, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/10103-10x10x3-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-bundle-of-25/,https://packrift.com/products/10x10x3-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-bundle-of-25,boxes,Boxes - Corrugated,18.55,under-25,500,10.12,POUNDS,10-to-50-lb,10,10,3,25,catalog approved,active,in stock,100
10108,10x10x8 ECT-32 Kraft Corrugated Boxes - Bundle of 25,https://packrift.github.io/sku-evidence-cards/sku/10108-10x10x8-ect-32-kraft-corrugated-boxes-bundle-of-25/,https://packrift.com/products/10x10x8-ect-32-kraft-corrugated-boxes-bundle-of-25,boxes,Boxes - Corrugated,20.48,under-25,500,13.78,POUNDS,10-to-50-lb,10,10,8,25,catalog approved,active,in stock,100
10212SSFOL,"10 7/8x2x12 1/4"" ECT-32 Self Seal Side Load Box - 25 Pack",https://packrift.github.io/sku-evidence-cards/sku/10212ssfol-10-7-8x2x12-1-4-ect-32-self-seal-side-load-box-25-pack/,https://packrift.com/products/10-7-8x2x12-1-4-ect-32-self-seal-side-load-box-25-pack,boxes,Boxes - Corrugated,84.42,75-to-200,400,8.62,POUNDS,1-to-10-lb,10.875,2,12.25,25,catalog approved,active,in stock,100
1044,10x4x4 ECT-32 Kraft Corrugated Long Boxes - 25 Pack Bundle,https://packrift.github.io/sku-evidence-cards/sku/1044-10x4x4-ect-32-kraft-corrugated-long-boxes-25-pack-bundle/,https://packrift.com/products/10x4x4-ect-32-kraft-corrugated-long-boxes-25-pack-bundle,boxes,Boxes - Corrugated,10.41,under-25,500,4.2,POUNDS,1-to-10-lb,10,4,4,25,catalog approved,active,in stock,100
1054,"10x5x4 ECT-32 Kraft Corrugated Boxes - Long Side Opening, 25 Bundle",https://packrift.github.io/sku-evidence-cards/sku/1054-10x5x4-ect-32-kraft-corrugated-boxes-ai-long-side-opening-bundle-of-25/,https://packrift.com/products/10x5x4-ect-32-kraft-corrugated-boxes-ai-long-side-opening-bundle-of-25,boxes,Boxes - Corrugated,14.87,under-25,500,5.5,POUNDS,1-to-10-lb,10,5,4,25,catalog approved,active,in stock,100
1055,"10x5x5 ECT-32 Kraft Corrugated Boxes - Long Design, 25 Bundle",https://packrift.github.io/sku-evidence-cards/sku/1055-10x5x5-ect-32-kraft-corrugated-boxes-long-design-bundle-of-25/,https://packrift.com/products/10x5x5-ect-32-kraft-corrugated-boxes-long-design-bundle-of-25,boxes,Boxes - Corrugated,10.79,under-25,500,5.58,POUNDS,1-to-10-lb,10,5,5,25,catalog approved,active,in stock,100
1063,"10x6x3 ECT-32 Kraft Corrugated Boxes - Shallow Depth Shipping, 25-Count Bundle",https://packrift.github.io/sku-evidence-cards/sku/1063-10x6x3-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-25-count-bundle/,https://packrift.com/products/10x6x3-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-25-count-bundle,boxes,Boxes - Corrugated,11.48,under-25,499,5.44,POUNDS,1-to-10-lb,10,6,3,0,catalog approved,active,in stock,100
1064,"10x6x4 ECT-32 Kraft Corrugated Boxes - Reliable Strength, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1064-10x6x4-ect-32-kraft-corrugated-boxes-ai-reliable-strength-bundle-of-25/,https://packrift.com/products/10x6x4-ect-32-kraft-corrugated-boxes-ai-reliable-strength-bundle-of-25,boxes,Boxes - Corrugated,11.22,under-25,500,5.86,POUNDS,1-to-10-lb,10,6,4,25,catalog approved,active,in stock,100
1065,10x6x5 ECT-32 Kraft Corrugated Boxes - 25 Pack Bundle,https://packrift.github.io/sku-evidence-cards/sku/1065-10x6x5-ect-32-kraft-corrugated-boxes-25-pack-bundle/,https://packrift.com/products/10x6x5-ect-32-kraft-corrugated-boxes-25-pack-bundle,boxes,Boxes - Corrugated,13.27,under-25,500,6.1,POUNDS,1-to-10-lb,10,6,5,25,catalog approved,active,in stock,100
1066,10x6x6 ECT-32 Kraft Long Corrugated Boxes - 25 Bundle,https://packrift.github.io/sku-evidence-cards/sku/1066-10x6x6-ect-32-kraft-long-corrugated-boxes-25-bundle/,https://packrift.com/products/10x6x6-ect-32-kraft-long-corrugated-boxes-25-bundle,boxes,Boxes - Corrugated,12.7,under-25,499,7.74,POUNDS,1-to-10-lb,10,6,6,25,catalog approved,active,in stock,100
1073,"10x7x3 ECT-32 Kraft Corrugated Boxes - Shallow Depth Shipping, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1073-10x7x3-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-bundle-of-25/,https://packrift.com/products/10x7x3-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-bundle-of-25,boxes,Boxes - Corrugated,24.28,under-25,500,6.5,POUNDS,1-to-10-lb,10,7,3,25,catalog approved,active,in stock,100
1074,"10x7x4 ECT-32 Kraft Corrugated Boxes - Standard Strength Shipping, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/1074-10x7x4-ect-32-kraft-corrugated-boxes-standard-strength-shipping-25-pack/,https://packrift.com/products/10x7x4-ect-32-kraft-corrugated-boxes-standard-strength-shipping-25-pack,boxes,Boxes - Corrugated,12.77,under-25,500,7.26,POUNDS,1-to-10-lb,10,7,4,0,catalog approved,active,in stock,100
1075,"10x7x5"" ECT-32 Kraft Corrugated Boxes - Durable Shipping, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/1075-10x7x5-ect-32-kraft-corrugated-boxes-durable-shipping-25-pack/,https://packrift.com/products/10x7x5-ect-32-kraft-corrugated-boxes-durable-shipping-25-pack,boxes,Boxes - Corrugated,14.2,under-25,500,7.92,POUNDS,1-to-10-lb,10,7,5,0,catalog approved,active,in stock,100
1077,"10x7x7 ECT-32 Kraft Corrugated Boxes - Standard Strength Shipping, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1077-10x7x7-ect-32-kraft-corrugated-boxes-standard-strength-shipping-bundle-of-25/,https://packrift.com/products/10x7x7-ect-32-kraft-corrugated-boxes-standard-strength-shipping-bundle-of-25,boxes,Boxes - Corrugated,16.16,under-25,500,8.64,POUNDS,1-to-10-lb,10,7,7,25,catalog approved,active,in stock,100
1079,"10x7x9"" ECT-32 Kraft Corrugated Boxes - Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1079-10x7x9-ect-32-kraft-corrugated-boxes-bundle-of-25/,https://packrift.com/products/10x7x9-ect-32-kraft-corrugated-boxes-bundle-of-25,boxes,Boxes - Corrugated,25.25,25-to-75,200,10.58,POUNDS,10-to-50-lb,10,7,9,25,catalog approved,active,in stock,100
10810,10x8x10 ECT-32 Kraft Corrugated Boxes - Bulk 25-Pack Shipping,https://packrift.github.io/sku-evidence-cards/sku/10810-10x8x10-ect-32-kraft-corrugated-boxes-bulk-25-pack-shipping/,https://packrift.com/products/10x8x10-ect-32-kraft-corrugated-boxes-bulk-25-pack-shipping,boxes,Boxes - Corrugated,20.28,under-25,500,12.32,POUNDS,10-to-50-lb,10,8,10,0,catalog approved,active,in stock,100
10812,"10x8x12 ECT-32 Kraft Corrugated Boxes - Flat-Ship Storage, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/10812-10x8x12-ect-32-kraft-corrugated-boxes-ai-flat-ship-storage-25-pack/,https://packrift.com/products/10x8x12-ect-32-kraft-corrugated-boxes-ai-flat-ship-storage-25-pack,boxes,Boxes - Corrugated,21.2,under-25,500,13.46,POUNDS,10-to-50-lb,10,8,12,0,catalog approved,active,in stock,100
1082,"10x8x2 ECT-32 Kraft Corrugated Boxes - Shallow Depth Shipping, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1082-10x8x2-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-bundle-of-25/,https://packrift.com/products/10x8x2-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-bundle-of-25,boxes,Boxes - Corrugated,23.29,under-25,500,6.64,POUNDS,1-to-10-lb,10,8,2,25,catalog approved,active,in stock,100
1083,"10x8x3"" ECT-32 Kraft Corrugated Boxes - Shallow Depth Shipping, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1083-10x8x3-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-bundle-of-25/,https://packrift.com/products/10x8x3-ect-32-kraft-corrugated-boxes-shallow-depth-shipping-bundle-of-25,boxes,Boxes - Corrugated,13.65,under-25,500,7.58,POUNDS,1-to-10-lb,10,8,3,25,catalog approved,active,in stock,100
1084,"10x8x4 ECT-32 Kraft Corrugated Boxes - Shallow Shipping, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1084-10x8x4-ect-32-kraft-corrugated-boxes-shallow-shipping-bundle-of-25/,https://packrift.com/products/10x8x4-ect-32-kraft-corrugated-boxes-shallow-shipping-bundle-of-25,boxes,Boxes - Corrugated,14.48,under-25,500,8.42,POUNDS,1-to-10-lb,10,8,4,25,catalog approved,active,in stock,100
1085,"10x8x5 ECT-32 Kraft Corrugated Boxes - Reliable Shipping, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/1085-10x8x5-ect-32-kraft-corrugated-boxes-reliable-shipping-25-pack/,https://packrift.com/products/10x8x5-ect-32-kraft-corrugated-boxes-reliable-shipping-25-pack,boxes,Boxes - Corrugated,16.6,under-25,500,9.34,POUNDS,1-to-10-lb,10,8,5,0,catalog approved,active,in stock,100
1086,10x8x6 ECT-32 Kraft Corrugated Boxes - 25-Pack Bundle,https://packrift.github.io/sku-evidence-cards/sku/1086-10x8x6-ect-32-kraft-corrugated-boxes-25-pack-bundle/,https://packrift.com/products/10x8x6-ect-32-kraft-corrugated-boxes-25-pack-bundle,boxes,Boxes - Corrugated,15.43,under-25,500,9.62,POUNDS,1-to-10-lb,10,8,6,0,catalog approved,active,in stock,100
1086W,10x8x6 White Corrugated Boxes ECT-32 Single Wall - 25 Pack Bundle,https://packrift.github.io/sku-evidence-cards/sku/1086w-10x8x6-white-corrugated-boxes-ect-32-single-wall-25-pack-bundle/,https://packrift.com/products/10x8x6-white-corrugated-boxes-ect-32-single-wall-25-pack-bundle,boxes,Boxes - Corrugated,25.32,25-to-75,200,9.48,POUNDS,1-to-10-lb,10,8,6,25,catalog approved,active,in stock,100
1087,10x8x7 ECT-32 Kraft Corrugated Boxes - 25-Pack Bundle,https://packrift.github.io/sku-evidence-cards/sku/1087-10x8x7-ect-32-kraft-corrugated-boxes-25-pack-bundle/,https://packrift.com/products/10x8x7-ect-32-kraft-corrugated-boxes-25-pack-bundle,boxes,Boxes - Corrugated,18.19,under-25,500,10.94,POUNDS,10-to-50-lb,10,8,7,0,catalog approved,active,in stock,100
1088,"10x8x8"" ECT-32 Kraft Corrugated Boxes - 25-Pack Bulk",https://packrift.github.io/sku-evidence-cards/sku/1088-10x8x8-ect-32-kraft-corrugated-boxes-25-pack-bulk/,https://packrift.com/products/10x8x8-ect-32-kraft-corrugated-boxes-25-pack-bulk,boxes,Boxes - Corrugated,16.6,under-25,500,10.78,POUNDS,10-to-50-lb,10,8,8,0,catalog approved,active,in stock,100
1094,"10x9x4"" ECT-32 Kraft Corrugated Boxes - 25 Bundle | Shallow Product Shipping",https://packrift.github.io/sku-evidence-cards/sku/1094-10x9x4-ect-32-kraft-corrugated-boxes-25-bundle-shallow-product-shipping/,https://packrift.com/products/10x9x4-ect-32-kraft-corrugated-boxes-25-bundle-shallow-product-shipping,boxes,Boxes - Corrugated,22.51,under-25,300,9.32,POUNDS,1-to-10-lb,10,9,4,25,catalog approved,active,in stock,100
1096,"10x9x6 ECT-32 Kraft Corrugated Boxes - 25/Bundle, Industrial Strength",https://packrift.github.io/sku-evidence-cards/sku/1096-10x9x6-ect-32-kraft-corrugated-boxes-25-bundle-industrial-strength/,https://packrift.com/products/10x9x6-ect-32-kraft-corrugated-boxes-25-bundle-industrial-strength,boxes,Boxes - Corrugated,18.56,under-25,500,10.64,POUNDS,10-to-50-lb,10,9,6,0,catalog approved,active,in stock,100
1098,"10x9x8 ECT-32 Kraft Corrugated Boxes - Flat Ship Storage, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/1098-10x9x8-ect-32-kraft-corrugated-boxes-flat-ship-storage-25-pack/,https://packrift.com/products/10x9x8-ect-32-kraft-corrugated-boxes-flat-ship-storage-25-pack,boxes,Boxes - Corrugated,29.52,25-to-75,500,13.02,POUNDS,10-to-50-lb,10,9,8,0,catalog approved,active,in stock,100
