sku,title,family,product_type,product_url,source_row_hash,offer_id,price,inventory,weight_lb,length_in,width_in,height_in,cubic_volume_in,cubic_volume_ft,density_lb_per_cuft,dimensional_weight_lb_139,dim_to_actual_ratio,price_per_cubic_ft,price_per_lb,density_band,dim_pressure_band,price_density_band,dimensions_status,image_status,primary_image_url,google_product_category
GD101R,"1/2"" Low Tack Glue Dots Clear Adhesive - 1500 Roll",tape,Adhesives & Glue,https://packrift.com/products/1-2-low-tack-glue-dots-clear-adhesive-1500-roll,1c9f8bb0991d07685c9417abea9f19335912d61a4890b673b0fd94fef5e4755e,shopify_ZZ_15061994701168_53474271363440,17.63,300.0,0.42,0.5,0.5,0.015625,0.00390625,2.2605613425925925e-06,185794.56,2.8102517985611512e-05,6.691075710859885e-05,7798947.84,41.976190476190474,dense 20 lb per cubic foot and up,actual weight dominant,150 dollars per cubic foot and up,metafield,single_image,https://cdn.shopify.com/s/files/1/1004/9159/2048/files/GD101R.jpg?v=1774970222,hardware > building consumables > hardware glue & adhesives
DES101,"1x2.5x0.25"" Kraft Clay Desiccant Bags - Moisture Protection, 1200/Case",poly_bags,Warehouse Supplies,https://packrift.com/products/1x2-5x0-25-kraft-clay-desiccant-bags-moisture-protection-1200-case,14600f993d8027a0c12f1477ab4563a7a30895a67bc7230fe76f23befaead036,shopify_ZZ_15061134082416_53442485780848,181.01,100.0,19.22,1.0,2.5,0.25,0.625,0.0003616898148148148,53139.456,0.0044964028776978415,0.00023394395825691164,500456.448,9.417793964620188,dense 20 lb per cubic foot and up,actual weight dominant,150 dollars per cubic foot and up,shopify_spec_readback,single_image,https://cdn.shopify.com/s/files/1/1004/9159/2048/files/DES101.jpg?v=1774848187,
DES119,"1x3.5x0.25"" Tyvek® Clay Desiccant Packets - 700 Pack Pail",other,Warehouse Supplies,https://packrift.com/products/1x3-5x0-25-tyvek-ae-clay-desiccant-packets-700-pack-pail,72e2c56047e4dbcd62179fda02a8a54d6bbf8dd64168958c729b81eb11a586b1,shopify_ZZ_15061134606704_53442559508848,119.74,100.0,20.28,1.0,3.5,0.25,0.875,0.0005063657407407407,40050.10285714286,0.006294964028776978,0.0003104025655215472,236469.39428571428,5.904339250493096,dense 20 lb per cubic foot and up,actual weight dominant,150 dollars per cubic foot and up,shopify_spec_readback,single_image,https://cdn.shopify.com/s/files/1/1004/9159/2048/files/DES119.jpg?v=1774848218,
RT2SC,"1.5x1.25x2"" Kraft Reverse Tuck Folding Cartons - 24pt Die-Cut, Case 1000",boxes,Chipboard Cartons,https://packrift.com/products/1-5x1-25x2-kraft-reverse-tuck-folding-cartons-24pt-die-cut-case-1000,a3b5b8ea3fac7c307f0b81891af38f00f13fab17aa25ce81eec536748d146146,shopify_ZZ_15061977530736_53474235875696,118.11,400.0,15.36,1.5,1.25,2.0,3.75,0.002170138888888889,7077.887999999999,0.02697841726618705,0.0017564073741007193,54425.087999999996,7.689453125,dense 20 lb per cubic foot and up,actual weight dominant,150 dollars per cubic foot and up,shopify_spec_readback,single_image,https://cdn.shopify.com/s/files/1/1004/9159/2048/files/RT2SC.jpg?v=1774968728,
RTSPEC1W,"1.5x1.5x2.25"" White Reverse Tuck Folding Cartons - 24pt Fibreboard, Case/1000",boxes,Chipboard Cartons,https://packrift.com/products/1-5x1-5x2-25-white-reverse-tuck-folding-cartons-24pt-fibreboard-case-1000,29bdc8f610ab06febb0f2ccf6235b6f2c04df52bc7e3cd2474f6fc63d46851ea,shopify_ZZ_15062439821680_53475989160304,116.68,100.0,20.1,1.5,1.5,2.25,5.0625,0.0029296875,6860.8,0.03642086330935252,0.0018119832492215183,39826.77333333334,5.804975124378109,dense 20 lb per cubic foot and up,actual weight dominant,150 dollars per cubic foot and up,metafield,single_image,https://cdn.shopify.com/s/files/1/1004/9159/2048/files/RTSPEC1W.jpg?v=1775011277,office supplies > shipping supplies > moving & shipping boxes
SP223225,"2x2x3"" .225 Fibreboard Strapping Protectors - Case of 600",strapping,Edge Protectors,https://packrift.com/products/2x2x3-225-fibreboard-strapping-protectors-case-of-600,cac585ba18de9676bb44938bef92988c6f1b51412214dc896544d59a774df3f5,shopify_ZZ_15062288433520_53475324428656,83.29,500.0,41.3,2.0,2.0,3.0,12.0,0.006944444444444444,5947.2,0.08633093525179857,0.0020903374152977864,11993.760000000002,2.0167070217917678,dense 20 lb per cubic foot and up,actual weight dominant,150 dollars per cubic foot and up,shopify_spec_readback,single_image,https://cdn.shopify.com/s/files/1/1004/9159/2048/files/SP223225.jpg?v=1774986379,
RTC23W,"3x7/8x3"" White Reverse Tuck Folding Cartons - 24pt Fibreboard, Case 1000",boxes,Chipboard Cartons,https://packrift.com/products/3x7-8x3-white-reverse-tuck-folding-cartons-24pt-fibreboard-case-1000,dc2250ba7e39b7d007fa5de216a75a977bae0ba4754503686d43ae59358796cd,shopify_ZZ_15062440247664_53475989619056,152.21,400.0,26.36,3.0,0.875,3.0,7.875,0.004557291666666667,5784.137142857142,0.05665467625899281,0.002149266929400334,33399.22285714286,5.774279210925646,dense 20 lb per cubic foot and up,actual weight dominant,150 dollars per cubic foot and up,shopify_spec_readback,single_image,https://cdn.shopify.com/s/files/1/1004/9159/2048/files/RTC23W.jpg?v=1775011332,office supplies > shipping supplies > moving & shipping boxes
FR44,"3.25x3.25"" ECT-32 Corrugated Frame Protectors - 630/Case",boxes,Boxes - Corrugated,https://packrift.com/products/3-25x3-25-ect-32-corrugated-frame-protectors-630-case,086943083e70de5645e3dcd8fdca8888c123181cc968a8267e21913534236840,shopify_ZZ_15061657026928_53472913162608,89.75,300.0,17.38,3.25,3.25,0.5,5.28125,0.0030562789351851853,5686.653727810651,0.03799460431654676,0.0021861107201695492,29365.775147928995,5.163981588032221,dense 20 lb per cubic foot and up,actual weight dominant,150 dollars per cubic foot and up,metafield,single_image,https://cdn.shopify.com/s/files/1/1004/9159/2048/files/FR44.jpg?v=1774902269,office supplies > shipping supplies > moving & shipping boxes
RTS14,"2x1.25x3"" Kraft Reverse Tuck Folding Cartons - 1000/Case",boxes,Chipboard Cartons,https://packrift.com/products/2x1-25x3-kraft-reverse-tuck-folding-cartons-1000-case,ea23ad6021be8666372209f5ddf91c6bb2869f042a028d95a284d9ef34161759,shopify_ZZ_15061977694576_53474236727664,121.99,200.0,23.88,2.0,1.25,3.0,7.5,0.004340277777777778,5501.951999999999,0.0539568345323741,0.0022594989335165032,28106.496,5.108458961474037,dense 20 lb per cubic foot and up,actual weight dominant,150 dollars per cubic foot and up,shopify_spec_readback,single_image,https://cdn.shopify.com/s/files/1/1004/9159/2048/files/RTS14.jpg?v=1774968743,
RTS14W,"2x1.25x3"" White Reverse Tuck Folding Cartons - 24pt Fibreboard, 1000/Case",boxes,Chipboard Cartons,https://packrift.com/products/2x1-25x3-white-reverse-tuck-folding-cartons-24pt-fibreboard-1000-case,e10b99c40743fc132ca49300b958802b29d4ba3449df3e624e11f2d5a0ea8800,shopify_ZZ_15062439919984_53475989258608,129.51,100.0,22.8,2.0,1.25,3.0,7.5,0.004340277777777778,5253.12,0.0539568345323741,0.002366527830367285,29839.103999999996,5.6802631578947365,dense 20 lb per cubic foot and up,actual weight dominant,150 dollars per cubic foot and up,shopify_spec_readback,single_image,https://cdn.shopify.com/s/files/1/1004/9159/2048/files/RTS14W.jpg?v=1775011294,
